Mods count: 203
 
                                  jar name                                   | notes |                        mod id                        |                 mod name                  |           mod version           |                                                                                                                                                                         mixin configs                                                                                                                                                                         |              modrinth hash               | curseforge hash
BlockRunner-v8.0.4-1.20.1-Fabric.jar                                         |       | blockrunner                                          | Block Runner                              | 8.0.4                           | blockrunner.common.mixins.json                                                                                                                                                                                                                                                                                                                                | cd94847822a096d410d7544f92c7713d5201c022 | 240630026      
BOMD-1.7.5-1.20.1.jar                                                        |       | bosses_of_mass_destruction                           | Bosses of Mass Destruction (Beta)         | 1.7.5-1.20.1                    | bosses.mixins.json                                                                                                                                                                                                                                                                                                                                            | 6312dfbbc64f5621a3f5169ff6c53f567baee56b | 4034380643     
    /META-INF/jars/maelstrom-lib-e26888c.jar                                 |       | maelstrom_library                                    | Maelstrom Library                         | 1.6.1-1.20                      | maelstrom.mixins.json                                                                                                                                                                                                                                                                                                                                         |                                          |                
    /META-INF/jars/MultipartEntities-1.20-SNAPSHOT.jar                       |       | multipart_entities                                   | MultipartEntities                         | 1.5-1.20                        | MultipartEntities.mixins.json                                                                                                                                                                                                                                                                                                                                 |                                          |                
borderless-mining-1.1.8+1.20.1.jar                                           |       | borderlessmining                                     | Borderless Mining                         | 1.1.8+1.20.1                    | borderlessmining.mixins.json                                                                                                                                                                                                                                                                                                                                  | dbdb8a0600679f3c76480ae5d0995e2334773ce3 | 2758610652     
    /META-INF/jars/fabric-resource-loader-v0-0.11.7+f7923f6d82.jar           |       | fabric-resource-loader-v0                            | Fabric Resource Loader (v0)               | 0.11.7+f7923f6d82               | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json                                                                                                                                                                                                                                                                           |                                          |                
Bountiful-6.0.4+1.20.1-fabric.jar                                            |       | bountiful                                            | Bountiful                                 | 6.0.4+1.20.1                    |                                                                                                                                                                                                                                                                                                                                                               | 1141381614582621d04ee094baac476e0875f71e | 96495800       
brutes-drop-scraps-1.1.jar                                                   |       | brutes_dropscraps_mr                                 | Brutes Drop Scraps                        | 1.1                             |                                                                                                                                                                                                                                                                                                                                                               | 201437e6e82ca3807e21af59d75917bf7c34622b | 3055097176     
capes-1.5.2+1.20-fabric.jar                                                  |       | capes                                                | Capes                                     | 1.5.2+1.20                      | capes-common.mixins.json                                                                                                                                                                                                                                                                                                                                      | 5444e301346383f6133189e66069e970d4a126fc | 1334700762     
cardinal-components-api-5.2.3.jar                                            |       | cardinal-components                                  | Cardinal Components API                   | 5.2.3                           |                                                                                                                                                                                                                                                                                                                                                               | d0d687d8fc3f367bf696fa0059bccdf0591c51f4 | 3768083891     
    /META-INF/jars/cardinal-components-base-5.2.3.jar                        |       | cardinal-components-base                             | Cardinal Components API (base)            | 5.2.3                           |                                                                                                                                                                                                                                                                                                                                                               |                                          |                
    /META-INF/jars/cardinal-components-block-5.2.3.jar                       |       | cardinal-components-block                            | Cardinal Components API (blocks)          | 5.2.3                           | mixins.cardinal_components_block.json                                                                                                                                                                                                                                                                                                                         |                                          |                
    /META-INF/jars/cardinal-components-chunk-5.2.3.jar                       |       | cardinal-components-chunk                            | Cardinal Components API (chunks)          | 5.2.3                           | mixins.cardinal_components_chunk.json                                                                                                                                                                                                                                                                                                                         |                                          |                
    /META-INF/jars/cardinal-components-entity-5.2.3.jar                      |       | cardinal-components-entity                           | Cardinal Components API (entities)        | 5.2.3                           | mixins.cardinal_components_entity.json                                                                                                                                                                                                                                                                                                                        |                                          |                
    /META-INF/jars/cardinal-components-item-5.2.3.jar                        |       | cardinal-components-item                             | Cardinal Components API (items)           | 5.2.3                           | mixins.cardinal_components_item.json                                                                                                                                                                                                                                                                                                                          |                                          |                
    /META-INF/jars/cardinal-components-level-5.2.3.jar                       |       | cardinal-components-level                            | Cardinal Components API (world saves)     | 5.2.3                           | mixins.cardinal_components_level.json                                                                                                                                                                                                                                                                                                                         |                                          |                
